8193 8193
0 7052 120953
7052 2209 61
2209 894 59
894 5929 60
5929 7730 55
7730 1664 59
1664 4071 62
4071 3320 60
3320 5813 60
5813 6544 65
6544 4705 62
4705 290 62
290 4871 65
4871 663 63
663 2752 61
2752 7619 62
7619 5153 60
5153 4057 64
4057 6608 63
6608 4999 62
4999 6463 63
6463 5631 63
5631 5626 62
5626 3415 63
3415 66 60
66 712 62
712 7246 61
7246 8182 62
8182 6163 62
6163 282 62
282 7151 59
7151 7089 60
7089 5114 63
5114 8175 60
8175 6371 61
6371 3978 61
3978 6169 62
6169 5480 61
5480 1716 61
1716 6044 62
6044 1929 61
1929 2762 62
2762 4862 63
4862 2845 64
2845 1236 64
1236 2104 62
2104 5446 66
5446 6972 64
6972 4331 63
4331 7586 64
7586 2532 67
2532 2531 65
2531 4076 66
4076 7534 64
7534 1731 63
1731 4441 63
4441 7286 63
7286 7050 61
7050 6168 61
6168 6936 60
6936 1080 62
1080 1462 60
1462 7968 59
7968 6747 61
6747 1331 60
1331 5741 61
5741 5271 59
5271 4141 62
4141 33 59
33 382 59
382 6400 60
6400 6674 56
6674 5458 58
5458 4807 57
4807 6966 56
6966 2211 53
2211 3172 55
3172 7951 59
7951 7881 55
7881 4281 54
4281 3210 55
3210 372 57
372 1170 56
1170 242 58
242 2069 55
2069 6380 58
6380 3443 56
3443 409 57
409 7299 57
7299 3186 57
3186 6050 58
6050 2591 57
2591 2960 59
2960 3834 54
3834 4266 57
4266 6010 57
6010 6673 56
6673 7317 56
7317 7706 59
7706 3839 59
3839 7880 57
7880 2868 54
2868 7759 59
7759 4356 55
4356 3329 55
3329 602 57
602 58 56
58 2829 59
2829 5396 56
5396 6654 57
6654 7716 56
7716 2764 57
2764 3163 58
3163 5432 58
5432 5469 56
5469 4007 59
4007 276 59
276 8115 56
8115 5170 57
5170 3861 58
3861 5821 58
5821 2520 57
2520 3752 59
3752 6269 60
6269 2468 57
2468 7772 60
7772 8010 59
8010 4702 59
4702 1315 60
1315 4352 59
4352 1336 57
1336 1752 60
1752 7139 60
7139 3376 59
3376 4112 61
4112 85 63
85 2320 63
2320 5896 64
5896 7904 64
7904 5386 62
5386 6909 62
6909 4095 60
4095 3100 62
3100 7963 64
7963 4086 60
4086 7840 61
7840 7471 60
7471 8029 61
8029 597 60
597 2043 58
2043 2796 59
2796 3139 59
3139 5509 59
5509 6540 59
6540 3497 55
3497 4882 56
4882 6286 55
6286 2642 54
2642 5616 53
5616 4997 55
4997 5030 55
5030 5521 51
5521 3244 54
3244 6457 52
6457 4082 56
4082 6617 51
6617 1095 54
1095 7103 53
7103 1659 52
1659 3284 51
3284 15 51
15 5818 53
5818 6445 54
6445 508 53
508 1678 51
1678 62 51
62 6224 50
6224 1638 53
1638 2031 53
2031 2417 52
2417 1982 52
1982 5224 53
5224 5088 52
5088 1699 52
1699 6739 52
6739 8109 53
8109 8037 52
8037 4888 55
4888 3780 54
3780 6508 53
6508 6372 56
6372 5319 54
5319 2009 54
2009 788 56
788 3144 51
3144 4136 56
4136 5669 54
5669 5972 55
5972 7555 54
7555 5437 56
5437 7831 52
7831 5817 56
5817 3420 56
3420 7788 53
7788 2660 59
2660 2915 56
2915 4264 54
4264 4788 57
4788 5503 57
5503 4278 60
4278 666 56
666 543 57
543 6488 57
6488 3355 56
3355 911 54
911 4037 58
4037 2831 55
2831 3843 57
3843 4229 59
4229 7991 56
7991 2019 56
2019 7449 57
7449 5647 58
5647 6916 56
6916 1372 58
1372 6379 59
6379 2809 57
2809 814 59
814 5523 59
5523 7594 58
7594 3523 61
3523 4154 60
4154 1663 60
1663 1862 61
1862 2134 62
2134 2651 63
2651 1481 65
1481 3850 63
3850 5345 64
5345 5559 66
5559 4457 63
4457 2747 67
2747 6350 65
6350 3520 64
3520 6389 65
6389 7558 65
7558 5227 64
5227 6449 60
6449 6946 65
6946 4644 64
4644 3736 64
3736 3943 66
3943 2949 65
2949 7872 67
7872 7660 67
7660 5351 65
5351 905 66
905 5785 64
5785 779 61
779 2473 61
2473 7429 62
7429 1478 64
1478 4016 63
4016 3893 63
3893 6148 66
6148 6489 64
6489 6855 65
6855 2707 66
2707 6635 64
6635 4614 65
4614 1441 68
1441 1769 67
1769 6557 66
6557 5353 66
5353 8076 67
8076 2404 69
2404 7425 65
7425 1881 68
1881 6157 67
6157 157 66
157 3242 67
3242 876 69
876 6655 67
6655 7678 68
7678 4305 72
4305 4203 71
4203 6580 71
6580 3555 73
3555 3810 71
3810 4939 75
4939 857 73
857 6591 74
6591 2917 74
2917 3225 72
3225 4472 76
4472 2317 76
2317 5079 75
5079 357 77
357 1414 73
1414 4160 74
4160 1410 74
1410 3334 76
3334 2078 72
2078 2830 73
2830 7644 77
7644 910 76
910 2673 74
2673 2656 74
2656 5452 78
5452 6742 75
6742 1921 73
1921 5151 75
5151 5738 76
5738 5334 74
5334 6015 75
6015 5377 75
5377 154 74
154 1830 75
1830 863 73
863 4850 74
4850 5858 74
5858 1943 73
1943 1457 75
1457 7499 76
7499 1037 74
1037 4298 76
4298 6363 73
6363 716 76
716 4739 74
4739 2744 75
2744 3549 73
3549 7282 75
7282 1134 72
1134 4903 72
4903 5058 70
5058 7207 73
7207 7926 68
7926 6798 73
6798 2330 70
2330 586 73
586 2785 71
2785 1094 70
1094 455 69
455 7311 71
7311 807 73
807 919 71
919 5584 71
5584 2644 70
2644 5042 71
5042 7543 70
7543 268 67
268 1907 70
1907 6040 65
6040 2124 67
2124 2415 66
2415 5103 68
5103 8112 69
8112 171 70
171 549 72
549 7889 70
7889 4045 71
4045 1258 72
1258 5677 71
5677 8132 72
8132 182 70
182 2601 74
2601 1396 72
1396 2889 73
2889 1786 72
1786 5215 73
5215 7518 70
7518 4826 73
4826 2862 70
2862 3885 71
3885 221 69
221 5229 69
5229 2536 71
2536 3546 70
3546 1693 70
1693 5674 73
5674 1684 70
1684 1815 73
1815 7094 69
7094 578 72
578 5225 70
5225 4362 67
4362 4377 68
4377 7316 70
7316 1751 65
1751 4629 68
4629 7771 71
7771 499 68
499 5261 68
5261 2096 71
2096 5127 70
5127 223 70
223 1634 73
1634 7347 69
7347 4225 68
4225 521 71
521 6629 71
6629 5826 69
5826 5802 71
5802 757 71
757 7722 67
7722 6660 71
6660 7238 69
7238 7435 72
7435 7252 67
7252 4621 71
4621 6403 68
6403 5214 65
5214 2675 66
2675 4310 67
