101 101
0 46 16
46 34 15
34 18 14
18 87 25
87 39 26
39 78 19
78 82 5
82 70 11
70 77 6
77 86 27
86 13 13
13 40 23
40 60 9
60 45 12
45 63 4
63 98 30
98 97 22
97 26 19
26 6 10
6 42 40
42 85 32
85 99 16
99 64 14
64 29 10
29 21 2
21 79 7
79 27 10
27 35 14
35 80 6
80 48 9
48 4 9
4 72 16
72 54 10
54 20 23
20 1 3
1 59 14
59 22 12
22 31 25
31 96 20
96 55 9
55 16 13
16 88 9
88 100 9
100 30 13
30 67 6
67 89 6
89 3 1
3 76 11
76 24 13
24 32 6
32 41 12
41 43 23
43 66 12
66 28 29
28 8 23
8 19 10
19 62 9
62 25 17
25 58 20
58 93 5
93 56 11
56 49 8
49 73 27
73 81 23
81 2 34
2 61 17
61 95 8
95 38 18
38 57 16
57 94 22
94 9 28
9 75 20
75 14 19
14 83 23
83 36 4
36 90 4
90 11 19
11 65 27
65 53 31
53 84 19
84 7 6
7 71 4
71 23 14
23 33 4
33 5 33
5 74 12
74 17 10
17 47 35
47 37 23
37 12 19
12 10 14
10 15 2
15 52 9
52 68 5
68 92 23
92 91 18
91 69 5
69 50 19
50 51 22
51 44 22
44 0 3
