498 498
0 428 7
428 165 6
165 48 6
48 29 1
29 277 8
277 271 9
271 462 7
462 461 3
461 135 4
135 215 13
215 424 8
424 332 2
332 184 6
184 225 9
225 87 7
87 427 5
427 231 6
231 350 12
350 491 6
491 458 16
458 51 7
51 308 5
308 137 3
137 275 9
275 410 4
410 134 7
134 395 8
395 180 5
180 121 9
121 353 17
353 7 8
7 128 5
128 19 3
19 85 12
85 97 7
97 305 8
305 343 8
343 209 9
209 389 7
389 81 3
81 106 3
106 16 10
16 313 8
313 321 1
321 405 9
405 329 7
329 448 6
448 217 7
217 331 7
331 352 8
352 92 3
92 241 5
241 4 6
4 45 6
45 438 6
438 274 7
274 320 2
320 338 9
338 460 11
460 426 3
426 233 5
233 154 5
154 375 9
375 253 1
253 456 11
456 409 8
409 172 11
172 91 5
91 24 10
24 191 3
191 470 9
470 192 14
192 28 2
28 319 8
319 325 5
325 37 17
37 437 13
437 67 11
67 127 3
127 361 11
361 316 7
316 65 12
65 382 10
382 359 5
359 103 2
103 398 8
398 318 8
318 224 6
224 90 2
90 234 4
234 322 4
322 422 1
422 297 5
297 407 10
407 465 6
465 261 4
261 251 4
251 262 5
262 357 7
357 22 4
22 435 2
435 413 15
413 486 9
486 307 11
307 96 9
96 59 12
59 93 8
93 117 17
117 309 3
309 315 3
315 311 4
311 420 6
420 47 1
47 143 8
143 451 10
451 369 12
369 129 3
129 259 4
259 273 4
273 441 9
441 472 12
472 301 13
301 254 5
254 226 10
226 310 8
310 153 10
153 58 4
58 283 16
283 328 12
328 64 8
64 105 16
105 282 8
282 173 11
173 167 19
167 53 7
53 497 4
497 286 3
286 267 5
267 423 9
423 73 2
73 109 12
109 484 3
484 495 4
495 485 9
485 487 6
487 112 8
112 337 6
337 344 3
344 124 3
124 204 9
204 76 5
76 481 2
481 443 3
443 475 10
475 477 2
477 88 9
88 496 8
496 118 5
118 174 11
174 194 6
194 200 4
200 187 3
187 160 4
160 269 6
269 374 5
374 287 7
287 257 4
257 363 6
363 40 5
40 326 5
326 31 5
31 6 3
