101 101
0 33 274
33 37 404
37 100 326
100 27 152
27 46 385
46 25 309
25 29 352
29 7 243
7 80 169
80 70 377
70 54 125
54 51 211
51 44 263
44 22 133
22 94 487
94 1 231
1 90 719
90 32 341
32 69 178
69 89 216
89 26 629
26 9 202
9 86 99
86 81 370
81 47 132
47 43 173
43 6 380
6 92 645
92 40 271
40 64 223
64 19 265
19 87 646
87 72 242
72 49 75
49 99 149
99 53 365
53 61 418
61 24 212
24 31 143
31 77 352
77 84 147
84 73 220
73 14 317
14 95 373
95 28 710
28 59 269
59 55 1048
55 67 367
67 75 484
75 76 464
76 45 242
45 20 127
20 50 56
50 3 176
3 62 251
62 88 678
88 58 329
58 35 677
35 18 540
18 78 234
78 71 409
71 30 220
30 41 260
41 8 526
8 39 137
39 13 188
13 38 266
38 11 252
11 34 219
34 66 329
66 74 373
74 15 380
15 5 199
5 83 354
83 21 372
21 63 398
63 48 352
48 60 70
60 16 622
16 68 126
68 52 347
52 93 538
93 56 318
56 96 128
96 91 169
91 10 179
10 4 74
4 97 335
97 23 91
23 65 147
65 98 201
98 17 971
17 36 324
36 42 421
42 79 241
79 82 509
82 57 427
57 85 66
85 2 299
2 12 257
12 0 165
