40001 40001
0 34355 2
34355 21582 3
21582 16119 1
16119 15751 0
15751 22554 2
22554 4826 1
4826 28622 0
28622 9148 5
9148 14106 4
14106 36773 1
36773 9369 5
9369 17619 1
17619 15468 5
15468 3407 1
3407 13587 4
13587 22513 7
22513 29931 2
29931 4526 4
4526 32031 4
32031 11742 3
11742 32959 5
32959 12702 4
12702 37133 3
37133 8924 3
8924 26326 4
26326 32753 5
32753 32118 5
32118 14262 4
14262 21578 4
21578 33432 5
33432 727 7
727 34227 4
34227 13586 8
13586 29423 6
29423 37456 3
37456 24131 5
24131 24681 8
24681 10783 10
10783 8146 7
8146 30129 7
30129 3626 8
3626 33580 10
33580 37927 8
37927 12619 9
12619 11645 12
11645 33100 9
33100 4129 13
4129 19477 8
19477 35413 11
35413 18126 13
18126 30685 6
30685 32788 10
32788 1143 13
1143 37220 9
37220 15708 9
15708 23141 13
23141 27275 16
27275 37389 10
37389 8172 16
8172 4281 15
4281 34329 16
34329 22962 18
22962 22074 15
22074 14452 15
14452 39594 18
39594 39965 16
39965 20886 15
20886 23934 19
23934 28347 15
28347 5016 18
5016 26544 16
26544 17569 17
17569 38362 12
38362 20867 17
20867 20647 17
20647 5105 15
5105 37868 21
37868 32295 16
32295 33721 21
33721 9606 22
9606 7113 20
7113 32447 22
32447 15013 21
15013 25605 23
25605 31752 17
31752 17026 24
17026 476 15
476 16151 23
16151 7693 18
7693 14306 21
14306 26051 20
26051 2670 18
2670 23233 20
23233 37135 23
37135 11144 19
11144 5587 21
5587 17598 15
17598 18876 18
18876 23436 19
23436 7066 22
7066 31459 18
31459 29094 16
29094 15200 20
15200 39906 19
39906 226 22
226 4858 19
4858 1898 18
1898 21146 14
21146 10988 17
10988 13473 18
13473 18997 15
18997 31841 16
31841 14690 13
14690 19911 17
19911 1302 17
1302 11468 21
11468 1323 18
1323 27112 22
27112 7073 21
7073 29388 22
29388 38966 19
38966 31745 21
31745 31397 25
31397 32660 18
32660 10842 24
10842 22768 23
22768 23477 18
23477 1330 22
1330 36261 20
36261 35137 22
35137 29028 19
29028 2036 19
2036 28165 23
28165 17963 17
17963 26535 24
26535 19658 18
19658 29010 21
29010 25801 17
25801 30213 21
30213 39223 22
39223 23384 17
23384 28262 23
28262 13263 22
13263 21268 22
21268 35281 21
35281 23223 24
23223 5580 22
5580 38869 21
38869 11515 20
11515 14316 22
14316 36302 15
36302 36780 20
36780 24838 22
24838 36401 16
36401 16313 18
16313 4683 17
4683 29686 21
29686 1987 13
1987 24990 16
24990 10517 18
10517 13782 21
13782 31140 19
31140 23268 19
23268 3005 19
3005 9174 21
9174 29084 18
29084 8009 24
8009 9547 17
9547 13753 22
13753 38647 19
38647 27411 21
27411 8142 20
8142 34484 22
34484 5791 19
5791 31093 17
31093 15323 19
15323 3347 18
3347 3141 21
3141 29684 20
29684 22826 19
22826 38149 22
38149 31819 19
31819 39072 17
39072 6164 19
6164 39987 20
39987 1328 16
1328 24808 19
24808 29339 17
29339 1829 17
1829 6583 15
6583 28344 17
28344 36962 15
36962 15744 14
15744 31058 18
31058 37440 15
37440 24238 17
24238 1715 15
1715 22731 15
22731 28228 18
28228 33922 18
33922 817 20
817 18892 18
18892 31965 19
31965 35180 20
35180 30102 17
30102 29673 21
29673 14409 17
14409 3683 24
3683 29756 19
29756 38242 16
38242 11653 19
11653 27056 19
27056 1458 19
1458 11690 18
11690 1392 21
1392 27366 22
27366 19963 21
19963 22864 20
22864 23758 18
23758 23551 20
23551 23952 17
23952 24624 21
24624 32451 16
32451 31226 20
31226 32294 15
32294 10646 17
10646 34830 19
34830 23231 16
23231 20678 21
20678 21472 16
21472 10491 18
10491 22110 17
22110 21087 21
21087 4884 20
4884 23652 19
23652 19389 19
19389 17478 18
17478 4421 16
4421 30080 17
30080 11839 18
11839 24314 16
24314 19643 19
19643 2851 22
2851 14566 18
14566 1385 16
1385 6344 19
6344 24306 18
24306 28321 23
28321 32809 16
32809 33722 15
33722 26896 18
26896 26804 18
26804 35523 17
35523 32528 16
32528 22616 16
22616 21504 17
21504 31458 19
31458 12512 20
12512 2392 21
2392 2316 19
2316 15168 19
15168 39620 22
39620 3908 18
3908 10075 21
10075 37790 21
37790 33364 19
33364 34990 18
34990 21122 22
21122 30727 19
30727 21707 21
21707 23624 21
23624 23645 24
23645 1333 21
1333 28506 22
28506 35126 18
35126 31636 22
31636 25393 20
25393 15181 17
15181 11784 17
11784 16146 19
16146 14963 20
14963 17889 15
17889 22434 21
22434 29079 14
29079 39266 16
39266 39435 18
39435 16837 17
16837 36729 16
36729 16194 18
16194 32164 16
32164 17417 19
17417 22273 15
22273 17183 14
17183 5545 15
5545 5634 19
5634 9426 13
9426 12898 19
12898 37395 16
37395 4487 17
4487 10454 17
10454 3389 15
3389 23413 15
23413 20154 22
20154 17522 17
17522 3935 16
3935 4307 17
4307 22176 20
22176 36747 25
36747 3911 21
3911 17320 19
17320 36835 20
36835 34081 24
34081 37540 15
37540 11297 21
11297 26769 22
26769 21345 20
21345 28384 21
28384 34488 20
34488 23968 20
23968 10638 19
10638 28754 22
28754 26574 19
26574 35377 22
35377 12997 22
12997 25449 20
25449 18348 21
18348 20310 25
20310 4455 23
4455 4016 23
4016 22113 18
22113 21517 23
21517 33596 20
33596 24818 24
24818 32521 23
32521 12777 20
12777 11517 25
11517 26049 22
26049 5773 23
5773 1079 21
1079 31422 27
31422 24258 20
24258 12851 24
12851 20888 21
20888 15444 22
15444 8814 23
8814 37969 26
37969 11242 23
11242 24661 27
24661 20010 26
20010 20919 27
20919 27331 26
27331 16710 24
16710 39419 27
39419 16695 23
16695 303 25
303 21870 28
21870 26015 24
26015 12143 29
12143 34272 30
34272 36645 24
36645 7131 28
7131 6110 31
6110 27304 26
27304 6198 25
6198 31323 30
31323 28144 23
28144 28905 29
28905 21334 26
21334 20839 30
20839 31337 27
31337 15986 26
15986 35697 23
35697 19280 26
19280 19104 24
19104 36305 23
36305 37308 27
37308 23419 24
23419 15832 29
15832 23096 27
23096 15167 28
15167 4744 29
4744 11324 28
11324 34799 31
34799 20094 29
20094 16803 34
16803 37417 28
37417 14769 29
14769 8544 32
8544 32928 29
32928 25952 31
25952 32148 32
32148 15529 28
15529 13767 30
13767 2723 34
2723 27764 27
27764 31354 33
31354 3698 29
3698 23168 34
23168 15453 30
15453 172 35
172 12827 30
12827 24976 36
24976 176 29
176 1552 33
1552 39271 30
39271 30603 32
30603 26840 33
26840 18574 35
18574 28500 38
28500 3379 31
3379 14720 38
14720 20461 35
20461 31474 40
31474 3337 40
3337 27121 34
27121 14961 41
14961 36081 37
36081 33410 41
33410 31245 37
31245 29841 37
29841 6692 40
6692 29221 37
29221 14348 38
14348 16696 39
16696 31945 39
31945 35999 37
35999 1909 38
1909 10092 41
10092 33196 34
33196 24399 40
24399 26397 39
26397 12506 36
12506 33633 41
33633 10079 36
10079 39273 36
39273 29648 34
29648 34259 38
34259 24186 37
24186 32085 34
32085 22480 37
22480 25678 34
25678 4048 34
4048 9376 38
9376 16455 33
16455 37612 29
37612 18998 32
18998 18135 32
18135 8795 34
8795 29560 28
29560 30639 34
30639 14068 29
